epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,1342.9,0.32443,0.421,0.23145,0.89826,0.99594,1,0.99423,0.97521,0.99594,1,0.99423,0.93894,0.27097,0.43538,0.22312,0.79891,0.0008615,0.0008615,0.0008615
117,1355.2,0.32742,0.41825,0.23333,0.90267,0.99594,1,0.99397,0.97127,0.99594,1,0.99397,0.94163,0.27493,0.45274,0.22408,0.80062,0.0008516,0.0008516,0.0008516
118,1365.58,0.3352,0.42464,0.23621,0.89891,0.99594,1,0.99389,0.97212,0.99594,1,0.99389,0.93242,0.27071,0.45001,0.22114,0.80607,0.0008417,0.0008417,0.0008417
119,1377.84,0.31486,0.40478,0.22606,0.89697,0.99593,1,0.99404,0.96957,0.99593,1,0.99404,0.9301,0.27387,0.44607,0.22652,0.80778,0.0008318,0.0008318,0.0008318
120,1388.07,0.34053,0.44692,0.23798,0.92068,0.99594,1,0.9942,0.96866,0.99594,1,0.9942,0.92973,0.27195,0.44297,0.22699,0.81286,0.0008219,0.0008219,0.0008219
121,1399.94,0.3252,0.4197,0.23024,0.90009,0.99595,1,0.99435,0.97298,0.99595,1,0.99435,0.93979,0.27407,0.434,0.21839,0.80338,0.000812,0.000812,0.000812
122,1411.68,0.31766,0.40141,0.23091,0.89427,0.99595,1,0.99423,0.97131,0.99595,1,0.99423,0.9443,0.29296,0.43235,0.22539,0.80343,0.0008021,0.0008021,0.0008021
123,1423.78,0.31927,0.41563,0.23291,0.9012,0.99578,1,0.99443,0.96877,0.99578,1,0.99443,0.9314,0.26846,0.43181,0.219,0.79247,0.0007922,0.0007922,0.0007922
124,1435.92,0.32351,0.4191,0.23256,0.90087,0.99593,1,0.99431,0.96879,0.99593,1,0.99431,0.93596,0.29004,0.4322,0.22554,0.79974,0.0007823,0.0007823,0.0007823
125,1447.23,0.32162,0.42192,0.22907,0.89743,0.99591,1,0.99431,0.97064,0.99591,1,0.99431,0.93633,0.27563,0.43309,0.22375,0.80039,0.0007724,0.0007724,0.0007724
126,1458.13,0.31852,0.42029,0.2302,0.89093,0.99586,1,0.99243,0.96957,0.99586,1,0.99243,0.93659,0.26805,0.43111,0.21969,0.8048,0.0007625,0.0007625,0.0007625
127,1470.54,0.32945,0.43176,0.23227,0.91045,0.99589,1,0.99236,0.96608,0.99589,1,0.99236,0.93375,0.27789,0.43818,0.22374,0.80907,0.0007526,0.0007526,0.0007526
128,1480.78,0.31981,0.40164,0.22653,0.89737,0.99593,1,0.99193,0.96924,0.99593,1,0.99193,0.93276,0.27076,0.44186,0.2161,0.80237,0.0007427,0.0007427,0.0007427
129,1492.93,0.32083,0.43186,0.23148,0.90295,0.99595,1,0.9927,0.97162,0.99595,1,0.9927,0.93329,0.26821,0.4501,0.22152,0.7933,0.0007328,0.0007328,0.0007328
130,1504.64,0.31264,0.42298,0.22369,0.89387,0.99595,1,0.99362,0.97257,0.99595,1,0.99362,0.93301,0.26922,0.45016,0.21948,0.78984,0.0007229,0.0007229,0.0007229
131,1515.18,0.32225,0.41545,0.2239,0.90808,0.99595,1,0.99423,0.97307,0.99595,1,0.99423,0.93011,0.26017,0.44079,0.21571,0.78973,0.000713,0.000713,0.000713
132,1527.23,0.31784,0.41855,0.2234,0.89669,0.99596,1,0.99393,0.97084,0.99596,1,0.99393,0.93502,0.26161,0.42654,0.20941,0.79183,0.0007031,0.0007031,0.0007031
133,1537.46,0.31444,0.42403,0.22338,0.89771,0.99595,1,0.99366,0.97261,0.99595,1,0.99366,0.9311,0.25996,0.42138,0.21391,0.79578,0.0006932,0.0006932,0.0006932
134,1549.28,0.31274,0.41605,0.22585,0.90488,0.99595,1,0.9945,0.97207,0.99595,1,0.9945,0.93751,0.28162,0.45131,0.21374,0.79643,0.0006833,0.0006833,0.0006833
